Timestamp,Email Address,Which country do you work in?,What City do you work in?,Which US state do you work in?,Which Canadian Province do you work in?,Company or Institution Name,Which of the following best describes your company?,Biotech sub industry?,Company Detail - Approximate Company Size,Provide a review and rate your company/institution and experience,"Work Life Balance - On average, how many hours do you work per week","What is your official job title?

This should match the title that was present on your offer letter. 

Some examples: Research Associate, Scientist, Scientist I/II/III, Senior Scientist, Principal Scientist, Manager, Lab Technician, VP, Director etc.

If your job title includes additional detail, please include e.g. Director of Bioinformatics","Which department best describes your role? If you can't find one that fits your specific role, select 'Other' and describe
",Briefly describe your position and responsibilities,"Do you work In-Person, Remote, or Hybrid?",How many days on average per week do you work from home?,What degrees do you have?,"How many total years of experience in post-docs do you have? (If none, enter 0)","List other relevant and recognized certifications
","Please enter your total years of experience in the field

DO NOT INCLUDE years in BSc, Masters, PhD, or post-bacc/post-doc",What currency will you be answering these questions in?,Are you a salaried or hourly employee,"If you are an hourly employee, how many hours per week do you work?","Annual Base Salary 

What is your annual BASE salary? Do not include bonus or stocks

If you are paid hourly, multiply by 2080 to convert to yearly (assuming you work 40hr/week)","Overtime Pay

How is overtime handled on a per hour basis? (1.5x base, 2x base, etc)","Annual Target Bonus in PERCENTAGE (%)

This should be stipulated prior to your employment. DO NOT include one-time bonuses (spot bonuses, signing bonuses, referral bonuses).","Commission

If you are compensated with commission how much is your commission? (Please indicate if answering in percentage or absolute monetary value)","Annual Equity/Stock Option

Please enter the grant/market value of your long-term incentive. Use the annualized amount if distributed over several years. Enter 0 if none or not applicable. 

DO NOT include equity when signing on or one-time equity bonuses","Most recent annual yearly raise (%)

Companies typically do yearly raises across the board for all employees. This is not to be confused with promotions or raises that were requested.
","[Sign on] Bonus Value
This is a one-time bonus you may have received when signing-on. This is not a bonus that reoccurs","[Sign on] Stock/Equity Options
Briefly describe sign on stock/equity options that is available","[Sign on] Relocation Assistance Total Value

This is the total value of the relocation assistance including but not limited to tax-true ups company may have paid, movers expenses, shipping of vehicles, temporary living, etc.","Retirement Benefits (free text)
Briefly describe retirement benefits. For example 401k match %, pension, etc","Healthcare Benefits (free text)
Describe healthcare benefits - costs, deductibles, outfamily plan, insurance provider, total out of pocket, HSA contributions, etc","Select the highest level of education that you have that's relevant to your occupation. If you have multiple (e.g. PhD + MD) please select ""Other"" and describe",How many years have you been working at this current position?,What currency will you be answering these quesitons in?,Survey feedback,"Any other type of annual bonus? Please describe.

 DO NOT include one-time bonuses (spot bonuses, signing bonuses, referral bonuses).
","How much of your bonus did you receive in the last cycle?

e.g. maybe your target bonus was 10%, but you actually got 8% this year. So here you would write ""8%""
"
12/20/2025 22:41:23,,United States,,California,,Prefer not to say,Private,Medical/Health Devices,50-200,7 culture can be a bit dog on dog,51 - 60,"Director, Commercial Operations",Operations,"Sales Operations, Patient Access",In-Person,1,,0,,20,,Salaried,Not applicable,250000,N/A (no overtime/am salaried),15,No commission,0,3,0,0,0,401K no match,"Medical, Dental & Vision. 4500 max OOP Self, Family 7500 ",Masters,2,USD - US dollar,,,15
12/18/2025 12:04:47,,United States,,Pennsylvania,,GSK,Public,Pharmaceutical (including “big pharma”),5000+,8/10,41 - 45,Manager,Research,IC and team leader for group of 5 junior scientists,Hybrid,2,,1,,8,,Salaried,Not applicable,150000,N/A (no overtime/am salaried),18,No commission,30000,3,,,,"401K match 7%, 401K base 4%",,PhD,2,USD - US dollar,,,20
12/16/2025 13:36:21,,United States,,Minnesota,,Prefer not to say,Private,Cell and Gene Therapy,1-50,Positive experience. ,41 - 45,Director of Operations,Operations,"Run day to day business operations including overseeing R&D scientists and clinical study onboarding. Due to being a start up, also handle some basic HR and company admin. ",Hybrid,1,,0,"PMP, PE, RAPS, etc",7,,Salaried,Not applicable,152000,N/A (no overtime/am salaried),5,No commission,20000,Have not been long enough to have an annual yearly raise,0,Stock awards granted to employees (private company). Some are stock options and some are restricted stock awards. Vested over 3 year period.,,,,Bachelors,1,USD - US dollar,Thank you!,0,5
12/16/2025 4:18:25,,United States,,New York,,Prefer not to say,Public,Pharmaceutical (including “big pharma”),5000+,,41 - 45,Medical Science Liaison ,Medical Affairs ,,Hybrid,3,,3,,5,,Salaried,Not applicable,235000,N/A (no overtime/am salaried),22,No commission,100000,3,,,,,,PhD,5,USD - US dollar,,Stocks ,25
12/15/2025 19:08:49,,United States,,Massachusetts,,Prefer not to say,Private,Industrial Biotech,1-50,"8/10, great people and interesting work. Leadership can be a bit overwhelming at times, but overall decent work life balance. Lots of trust in individual contributors enables quite a bit of flexibility in research",36 - 40,Senior Scietist,Research,"Structural Biologist, X-ray crystallography and cryo-EM",In-Person,0,,3,,5,,Salaried,Not applicable,150000,N/A (no overtime/am salaried),12.5,No commission,0,Have not been long enough to have an annual yearly raise,0,0,0,4% 401k match,"$2500 monthly stipend for insurance, dental $20/mo, vision $5/mo, ",PhD,1,USD - US dollar,Very interesting,,4
12/15/2025 16:27:51,,United States,,Pennsylvania,,JnJ,Public,Pharmaceutical (including “big pharma”),5000+,,36 - 40,Senior Scientist,Research,,In-Person,0,,5,,2,,Salaried,Not applicable,140000,N/A (no overtime/am salaried),12,No commission,0,4,,,,4,,PhD,2,USD - US dollar,,,15.6
12/14/2025 10:01:01,,United States,,California,,Prefer not to say,Public,Pharmaceutical (including “big pharma”),5000+,"Great growth opportunities given, worked in several areas of supply chain. But have hit ceiling in current area. ",30 - 35,Sr. Supply Chain Specialist ,Supply Chain,"Master Scheduling, Product Launches, Supplier Quality ",In-Person,0,,0,,6,,Salaried,Not applicable,125000,N/A (no overtime/am salaried),12,No commission,15000,3%,10000,15000,0,100% match for $15000 for 401k. ,$50/pay check Kaiser plan - low deductible. ,Masters,4.5,USD - US dollar,,,16%
12/13/2025 9:43:47,,United States,,California,,Prefer not to say,Private,Pharmaceutical (including “big pharma”),5000+,,41 - 45,Scientist III,Research,"Cancer research, cell culture, in vitro assays",In-Person,0,,7,,2,,Salaried,Not applicable,144000,N/A (no overtime/am salaried),,No commission,4,Company/Institution does not have annual yearly raise,15000,,20000,401k match,"UHC, 6K deductible for family, HSA ",PhD,2,USD - US dollar,,,20
12/12/2025 5:58:45,,China,Shanghai,,,Prefer not to say,Public,Industrial Biotech,1000-5000,,36 - 40,Associate Director,Research,,In-Person,0,,0,,12,,Salaried,Not applicable,700000,N/A (no overtime/am salaried),4,No commission,160000,Company/Institution does not have annual yearly raise,,,,,,Bachelors,1,CNY,,,22.50%
12/12/2025 2:08:53,,United States,,California,,Novo Nordisk,Public,Cell and Gene Therapy,5000+,,36 - 40,Senior Manufacturing Associate,Manufacturing,Stem Cell Manufacturing Associate,In-Person,0,,0,,10,,Salaried,Not applicable,109000,N/A (no overtime/am salaried),10,No commission,0,4,,,,"1% 401k match, 9% MPP(retirement)",,Bachelors,5,USD - US dollar,,,13.5
