timestamp,where_is_the_closest_major_city_or_hub,biotech_sub_industry,company_or_institution_name,company_details_publicprivatestartup_subsidiary_of,company_detail_approximate_company_size,role_title_of_current_position,highest_achieved_formal_education,years_of_experience,compensation_annual_base_salarypay,compensation_annual_target_bonus,compensation_annual_equity,compensation_sign_on_bonus_value,sign_on_relocation_assistance_total_value,what_country_do_you_work_in,compensation_overtime_pay,company_review,briefly_describe_your_position,list_other_relevant_and_recognized_certifications,compensation_retirement_benefits,compensation_healthcare_benefits,compensation_stock_options,compensation_most_recent_annual_yearly_raise,compensation_options,have_you_one_a_postdoc
2022-05-08 00:17:11.370000,test,Academia/Research,poop,Subsidiary,,pimp,High School or Equivalent,1.0,123.0,123.0,Not Applicable/None,123.0,12e,,,,,,,,,,,
2022-05-08 00:38:17.698000,Los Angeles,Consulting,,Private,50-200,Senior Manager,Masters or Equivalent,6.0,160000.0,16000.0,30000.0,10000.0,,,,,,,,,,,,
2022-05-08 00:39:38.364000,San Diego,Pharmaceutical (including “big pharma”),,Public,50-200,Research Associate I,Bachelors or Equivalent,0.0,55000.0,4400.0,Not Applicable/None,,,,,,,,,,,,,
2022-05-08 00:40:46.807000,Illinois,Academia/Research,,Academia/College/Universities,5000+,Researcher 1,Bachelors or Equivalent,2.0,28000.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-05-08 00:40:48.981000,New Jersey,Pharmaceutical (including “big pharma”),Wuxi Biologics,Public,1000-5000,Manufacturing technician III,Bachelors or Equivalent,6.0,72800.0,5824.0,Not Applicable/None,,,,,,,,,,,,,
2022-05-08 00:42:01.088000,Near boston,Pharmaceutical (including “big pharma”),Abbvie,Public,5000+,Senior scientist I,PhD or Equivalent,0.0,120000.0,0.08,Not Applicable/None,7000.0,15000.0,,,,,,,,,,,
2022-05-08 00:55:16.830000,Toronto,Pharmaceutical (including “big pharma”),,Start-up,1-50,Software Engineer (DevOps),Associate’s Degree or Equivalent,20.0,140000.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-05-08 00:57:18.937000,Bay Area,Pharmaceutical (including “big pharma”),,Private,1000-5000,Research Associate II,Bachelors or Equivalent,4.0,82000.0,0.125,Not Applicable/None,,,,,,,,,,,,,
2022-05-08 01:00:20.661000,Seattle,Medical Devices,,Public,1000-5000,Bioinformatics Scientist I,PhD or Equivalent,1.0,140000.0,11000.0,15000.0,15000.0,,,,,,,,,,,,
2022-05-08 01:09:14.109000,Seattle,Academia/Research,,Start-up,50-200,Sr. Scientist,PhD or Equivalent,4.0,140000.0,21000.0,Not Applicable/None,0.0,,,,,,,,,,,,
2022-05-08 01:09:44.003000,NJ,Pharmaceutical (including “big pharma”),,Private,5000+,Contract Assistant Scientist,Bachelors or Equivalent,2.0,54745.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-05-08 01:20:39.657000,San Diego,Pharmaceutical (including “big pharma”),,Public,200-1000,Research Associate II,Masters or Equivalent,2.0,68000.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-05-08 01:24:52.487000,"Santa Barbara, CA",Medical Devices,,Private,1-50,Head of Production,Bachelors or Equivalent,2.0,63648.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-05-08 01:26:38.894000,San Diego,Medical Devices,Illumina ,Public,5000+,Scientist I ,PhD or Equivalent,0.0,103000.0,8240.0,15000.0,0.0,20000.0,,,,,,,,,,,
2022-05-08 01:26:41.989000,South San Francisco,Pharmaceutical (including “big pharma”),Pact Pharma,Private,50-200,Scientist 1,Bachelors or Equivalent,13.0,131200.0,10.0,Not sure,2000.0,,,,,,,,,,,,
2022-05-08 01:27:32.498000,Boston,Pharmaceutical (including “big pharma”),Intellia Therapeutics,Public,200-1000,Associate Scientist,Masters or Equivalent,4.0,100000.0,10000.0,Not Applicable/None,,,,,,,,,,,,,
2022-05-08 01:29:01.042000,"Kansas City, MO",Pharmaceutical (including “big pharma”),,Public,5000+,Associate Scientist II,Bachelors or Equivalent,1.0,51500.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-05-08 01:29:23.636000,San Francisco Bay Area,Academia/Research,,Start-up,1-50,Bioinformatics Scientist,PhD or Equivalent,1.0,155000.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-05-08 01:30:57.077000,RDU,Pharmaceutical (including “big pharma”),,Public,5000+,Associate Process Engineer,Bachelors or Equivalent,2.0,72000.0,7200.0,Not Applicable/None,,,,,,,,,,,,,
