timestamp,what_country_do_you_work_in,where_is_the_closest_major_city_or_hub,biotech_sub_industry,company_or_institution_name,company_details_publicprivatestartup_subsidiary_of,company_detail_approximate_company_size,role_title_of_current_position,highest_achieved_formal_education,list_other_relevant_and_recognized_certifications,briefly_describe_your_position,years_of_experience,compensation_annual_base_salarypay,compensation_overtime_pay,compensation_annual_target_bonus,compensation_annual_equity,compensation_sign_on_bonus_value,compensation_stock_options,compensation_retirement_benefits,compensation_healthcare_benefits,compensation_most_recent_annual_yearly_raise,sign_on_relocation_assistance_total_value,company_review
2023-08-06 13:35:23.742000,Canada,Toronto,Academia/Research/Institution,Prefer not to say,Private,200-1000,Medical Writer,Bachelors or Equivalent,None,Regulatory writing in clinical CRO,5.0,60000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,,"Fully paid health insurance, HSA",Have not been long enough to have an annual yearly raise,,
2023-04-19 19:24:23.738000,Germany,Munich,Academia/Research/Institution,Max Planck Institute,Academia/College/Universities,5000+,Post-doc,PhD or Equivalent,None,,4.0,58000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,,,Have not been long enough to have an annual yearly raise,,"Very good place, very fair treatment"
2023-06-22 16:28:49.921000,Slovenia,Ljubljana ,Academia/Research/Institution,Prefer not to say,Public,50-200,Student assistant researcher,Bachelors or Equivalent,None,"Student helping out in the downstream processes department of a Biotech company, mostly working with protein extraction and quantification",0.0,13166.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,,,8 percent increase every few months,,
2023-06-14 15:30:45.092000,United Kingdom,Edinburgh,Academia/Research/Institution,University of Edinburgh,Academia/College/Universities,5000+,Postdoc,PhD or Equivalent,None,Postdoc,2.0,38000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,,,2.0,,
2023-03-29 02:06:31.717000,United States,Bay Area,Academia/Research/Institution,Prefer not to say,Start-up,1-50,Research Scientist,Masters or Equivalent,None,,7.0,105000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,,,10.0,,
2023-03-29 10:29:20.533000,United States,Seattle ,Academia/Research/Institution,Prefer not to say,Academia/College/Universities,50-200,Bioinformatics intern,Masters or Equivalent,None,Single cell RNA seq analysis ,0.0,74000.0,1.5x base,Not Applicable/None,Not Applicable/None,,,0.05,"Full health, dental, vision coverage ",Have not been long enough to have an annual yearly raise,4000.0,
2023-03-29 16:57:27.265000,United States,Los Angeles ,Academia/Research/Institution,Thermo Fisher ,Public,5000+,Technical Application Scientist II,PhD or Equivalent,None,,2.0,83000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,401k match 6%,High deductible ,0.03,,
2023-03-29 19:50:17.747000,United States,New York,Academia/Research/Institution,Regeneron,Private,5000+,Process development associate II,Bachelors or Equivalent,None,,1.0,80000.0,N/A (no overtime/salaried),6400.0,Options,10000.0,,,,Have not been long enough to have an annual yearly raise,,
2023-04-03 16:14:40.430000,United States,New York,Academia/Research/Institution,Prefer not to say,Private,1-50,Licensing Agent,PhD or Equivalent,None,,7.0,195000.0,N/A (no overtime/salaried),27000.0,Not Applicable/None,,,,,Yes,,
2023-04-08 07:56:37.859000,United States,Research Triangle,Academia/Research/Institution,Prefer not to say,Academia/College/Universities,5000+,Associate Scientist II,Bachelors or Equivalent,None,,13.0,115000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,11% employer retirement contribution ,"Fairly average health, dental, etc",Have not been long enough to have an annual yearly raise,,
2023-05-29 10:33:26.771000,United States,Boston,Academia/Research/Institution,Prefer not to say,Academia/College/Universities,1-50,Research Associate,Bachelors or Equivalent,None,,0.0,70000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,3000.0,n/a,401k match 6%,n/a,Company/Institution does not have annual yearly raise,0.0,n/a
2023-05-29 15:09:36.233000,United States,Miami,Academia/Research/Institution,Prefer not to say,Academia/College/Universities,1000-5000,Lab Technician,Bachelors or Equivalent,None,Set up models and materials for academic lab,1.0,37600.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,,,Company/Institution does not have annual yearly raise,,
2023-06-23 16:06:48.177000,United States,Boston,Academia/Research/Institution,Catamaran Bio,Private,1-50,Associate Scientist ,Masters or Equivalent,None,,7.0,11000.0,N/A (no overtime/salaried),10000.0,Not Applicable/None,,,,,Have not been long enough to have an annual yearly raise,,Good company. Seemed like leadership actually cared and listened 
2023-07-16 14:34:13.449000,United States,Portland,Academia/Research/Institution,Prefer not to say,Public,200-1000,Supervisor,Bachelors or Equivalent,MB(ASCP),Supervise Gene Production laboratory ,3.0,87400.0,N/A (no overtime/salaried),0.06,Not Applicable/None,,,,,Have not been long enough to have an annual yearly raise,,
2023-07-31 19:00:41.504000,United States,San Diego,Academia/Research/Institution,The Salk Institute for Biological Studies,Academia/College/Universities,50-200,Bioinformatics Analyst II,PhD or Equivalent,None,,1.0,86360.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,,,3.0,5000.0,
2023-08-22 15:04:17.796000,United States,Midwest,Academia/Research/Institution,R1 Level University,Academia/College/Universities,5000+,Scientist I,PhD or Equivalent,None,Bioinformatician,4.0,70000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,0.0,NA,Mandatory Pension Contribution. Matches 100% up to 6%,"Many plans offered, dental, vision included, HSA available",5.0,,
2023-10-08 23:17:21.026000,United States,San Diego,Academia/Research/Institution,Prefer not to say,Academia/College/Universities,200-1000,Director,Bachelors or Equivalent,None,Technology core lab,20.0,155.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,"403b, 5% match","HMO, cost $300/month",Company/Institution does not have annual yearly raise,,
2023-10-28 16:00:14.515000,United States,Bay Area,Academia/Research/Institution,Prefer not to say,Start-up,1-50,Research Associate,Bachelors or Equivalent,None,Assist PhD scientists with experiments relating to antibody discovery and manufacturing,0.0,65000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,,,Have not been long enough to have an annual yearly raise,,
2023-11-20 08:31:32.322000,United States,Providence,Academia/Research/Institution,Brown University,Academia/College/Universities,1000-5000,Research Services Technician,Associate’s Degree or Equivalent,ALAT,Colony management,6.0,47500.0,1.5x base,Not Applicable/None,Not Applicable/None,,,"403b automatic 6%, match additional 2%","$15 copays, no deductibles or cap",3-4%,,"Pay is not amazing, but the benefits outweigh that heavily. Paid schooling/certificates through EEP program, incredible insurance and 403b, abundance of vacation after 2 years, easy to network, etc. An incredible jump off point for starting your career if you still need a degree or care more about work/life balance"
2023-12-07 16:27:09.108000,United States,San Francisco ,Academia/Research/Institution,Verily Life Sciences,Subsidiary,1000-5000,Molecular Biology Research Technician,Bachelors or Equivalent,None,,2.0,87360.0,1.5,Not Applicable/None,Not Applicable/None,,,,,Have not been long enough to have an annual yearly raise,,
2023-03-29 01:52:08.698000,USA,San Diego,Academia/Research/Institution,Prefer not to say,Start-up,1-50,Associate Scientist,Masters or Equivalent,N/A,Associate Scientist - Lead and develop stem cell engineering platform ,9.0,150000.0,N/A (no overtime/salaried),24000.0,Not Applicable/None,,,5% 401k match,80%/20% employer/employee HMO premium ,0.04,,
2023-03-29 03:36:12.990000,USA,Bay Area,Academia/Research/Institution,Chan Zuckerberg Biohub ,Private,50-200,Research Associate I,Bachelors or Equivalent,None,,3.0,77000.0,N/A (no overtime/salaried),3% annual salary,Not Applicable/None,,,$ for $ match on 401k up to federal contribution limits for 401k. ,"2 HMO, 1 PPO option. Low cost <$45/mo for individual. Unsure about family plan. Cost for dental and vision is about $2-4/mo combined. ",0.03,2500.0,"Great, less overworked than in academia. Some PIs micromanage to the extreme, others can be very laid back. Very team-dependent experience. Poor with promotions within the company"
2023-03-29 09:18:23.211000,USA,Portland,Academia/Research/Institution,Twist,Public,200-1000,Supervisor I,Bachelors or Equivalent,None,"Reagents supervisor, manage team of about 20 people to supply multiple departments",12.0,83000.0,1.5x,6500.0,1500.0,0.0,40000k in stock after 4 years,401k match 3%,,Company/Institution does not have annual yearly raise,10000.0,Twist is nice and chill and will succeed if the C level can focus on mfg instead of courting investors
2023-03-29 12:01:17.740000,USA,Seattle,Academia/Research/Institution,Universal Cells,Subsidiary,50-200,Senior Research Associate ,Masters or Equivalent,None,,2.0,95000.0,N/A (no overtime/salaried),9000.0,Not Applicable/None,,,,,Have not been long enough to have an annual yearly raise,,
2023-06-20 04:19:25.835000,USA,Seattle,Academia/Research/Institution,Prefer not to say,Start-up,50-200,Scientist I,Masters or Equivalent,None,,6.0,90000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,,,Company/Institution does not have annual yearly raise,,
2023-09-07 01:10:20.828000,USA,Bay Area,Academia/Research/Institution,Prefer not to say,Private,1-50,Senior Data Scientist ,PhD or Equivalent,None,Build models to predict age related diseases ,4.0,175000.0,N/A (no overtime/salaried),20000.0,Not Applicable/None,0.0,0.0,4% match,,Company/Institution does not have annual yearly raise,,I like it
2023-09-07 20:14:21.190000,USA,Boston,Academia/Research/Institution,Dana-Farber Cancer Institute,Academia/College/Universities,1000-5000,Senior Research Technician,Masters or Equivalent,None,,1.0,50700.0,1.5,Not Applicable/None,Not Applicable/None,1000.0,,403b 3%,,0.03,,Love it. Except for the pay.
2023-10-02 11:03:26.336000,USA,Seattle,Academia/Research/Institution,Fred Hutch,Academia/College/Universities,5000+,Quality Assurance Associate II,Bachelors or Equivalent,None,,4.0,74000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,7% match,,Have not been long enough to have an annual yearly raise,,
2023-10-04 17:17:43.141000,USA,Houston ,Academia/Research/Institution,MD Anderson ,Private,5000+,Institute Associate Scientist II,Masters or Equivalent,None,Protein science - mAb expression ,3.0,70100.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,TRS,,0.055,,
2023-10-09 11:34:38.263000,USA,Baltimore,Academia/Research/Institution,"University of Maryland, Baltimore",Academia/College/Universities,5000+,Research Assistant,Bachelors or Equivalent,None,Working under a professor studying mitochondria,1.0,47000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,0.0,0.0,Retirement Supplement Plan (contracted,Unknown,Have not been long enough to have an annual yearly raise,,"7/10, very hands-off professor, communication within the lab could use some work, extremely easy job. Unsure if my undergraduate research gave me a pay increase. Tuition reimbursement if I decide to get my phD here."
2023-10-14 13:39:23.469000,USA,Buffalo,Academia/Research/Institution,Prefer not to say,Public,5000+,Res Asst Prof,PhD or Equivalent,None,Manage Preclincal Trials and MRI facility,8.0,88750.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,,,Company/Institution does not have annual yearly raise,,
2023-07-31 15:05:49.526000,USA ,New York,Academia/Research/Institution,Prefer not to say,Academia/College/Universities,1-50,Lab Technician ,Bachelors or Equivalent,None,Computational biologist. Working with computer vision and image processing ,1.0,46800.0,1.5x base,Not Applicable/None,Not Applicable/None,,,,With dental and vision around 40 a month deductibles,Have not been long enough to have an annual yearly raise,0.0,Working for an established university lab is like working at a startup- you jave to wear a lot of hats. For me its from software dev to data engineer to analyst
2023-10-27 20:10:59.954000,USA ,New York ,Academia/Research/Institution,Memorial Sloan Kettering Cancer center ,Academia/College/Universities,5000+,Scientific research lead,Masters or Equivalent,None,,8.0,113000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,0.0,,3% match ,,0.03,,Love it
2023-05-31 10:58:36.418000,United States,Boston,Agriculture/Food,Greenlight Biosciences,Private,200-1000,Research Associate II,Bachelors or Equivalent,None,,2.0,78000.0,N/A (no overtime/salaried),0.1,Not Applicable/None,,,,,Company/Institution does not have annual yearly raise,,
2023-08-22 11:40:33.024000,United States,Research Triangle,Agriculture/Food,Prefer not to say,Start-up,1-50,Manager,PhD or Equivalent,None,"Manager - Work as a team lead for 6 people managing projects, giving scientific feedback, working with upper management to drive strategy. ",4.0,95000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,1000.0,0.15% vesting over 4 years ,401k match up to 4%,"75% coverage with BCBS for medical and dental, 100% coverage of vision",Company/Institution does not have annual yearly raise,,The company atmosphere is good (though it has been tumultuous at times). Good opportunity for quick advancement. Below average compensation. 
2023-08-22 18:47:49.672000,United States,Research Triangle,Agriculture/Food,Prefer not to say,Start-up,1-50,Senior Scientist /Team Lead,Bachelors or Equivalent,None,Senior Scientist- Lead microbial projects for a small startup company.  Manage 1 RA and 1Scientist.,17.0,110000.0,N/A (no overtime/salaried),11000.0,Not Applicable/None,,,4% 401K match,150.0,Received promotion and salary bump for that.  ,,
2023-12-07 20:47:24.638000,United States,Bay Area,Agriculture/Food,Prefer not to say,Start-up,1-50,Research Associate III,Masters or Equivalent,None,,6.0,75000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,,,Company/Institution does not have annual yearly raise,,
2023-07-31 23:16:47.022000,United States of America,Research Triangle,Agriculture/Food,Prefer not to say,Private,50-200,Research Associate I,Bachelors or Equivalent,GLP,Plant Pathologist: Develop bioassays for screening early candidates in product pipeline,5.0,65000.0,N/A (no overtime/salaried),"Technically 15%, but with budget constraints, I don't think we'll get one at all.",Not Applicable/None,0.0,"1500 stocks, but that's worthless for my company at $0.30/share",No 401k match :(,"$15 copay, $1000 ded, BCBSMA, Total OOP is $5230",0.03,,"Great culture at lower levels, horrible executive strategy at higher levels"
2023-03-29 09:06:24.169000,USA,Bay Area,Agriculture/Food,Prefer not to say,Start-up,200-1000,Associate scientist ,Bachelors or Equivalent,None,,8.0,119000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,,Premium fully paid (Kaiser),Company/Institution does not have annual yearly raise,,
2023-03-30 06:00:01.565000,USA,DC,Agriculture/Food,FDA,Government,5000+,Biologist,PhD or Equivalent,None,Senior bioinformatician. Non-supervisory. ,8.0,145000.0,N/A (no overtime/salaried),3500.0,Not Applicable/None,,,401k matching 5% and pension,">10 health insurance plans to chose from, linked optional FSA",0.035,,Great work-life balance
2023-04-01 13:26:11.023000,USA,Research Triangle,Agriculture/Food,Prefer not to say,Start-up,1-50,Scientist,PhD or Equivalent,None,Assay development for pesticide discovery research,5.0,95000.0,N/A (no overtime/salaried),9500.0,Not Applicable/None,,"Equity offered as ""incentive unit"" grants on hire and occasional bonuses; I do not assign them monetary value at the current company's stage (Series A)",4% 401k match,"Good health insurance provided at zero cost for employee coverage, 10% premium cost for family coverage.  Dental and vision insurance provided at zero cost for employee and family coverage.  ",Company/Institution does not have annual yearly raise,,
2023-10-04 18:13:44.886000,USA,Bay Area,Agriculture/Food,USDA,Government,200-1000,Microbiologist,Bachelors or Equivalent,None,,1.0,71000.0,1.5x,Not Applicable/None,Not Applicable/None,,,,,0.2,,
2023-10-08 08:42:13.384000,USA,"RTP, NC",Agriculture/Food,Syngenta,Public,5000+,sr scientist,PhD or Equivalent,None,,3.0,99000.0,N/A (no overtime/salaried),10% or 9900,Not Applicable/None,,,,,3.5,,
2023-07-21 08:41:22.977000,USA,Indianapolis,Analytical Equipment,Shimadzu Scientific Instruments,Private,200-1000,Technical Support Scientist,Bachelors or Equivalent,None,Advanced customer support,3.0,88000.0,N/A (no overtime/salaried),7000.0,Not Applicable/None,,,2% match 401k,Good- Many options from cheap to expensive,Have not been long enough to have an annual yearly raise,8000.0,Very Positive
2023-10-20 07:11:34.820000,Austria,Vienna,Animal Health,MSD,Private,200-1000,Sr. Technician,Masters or Equivalent,None,QC,3.0,40240.0,"1,5x",Not Applicable/None,Not Applicable/None,0.0,0.0,0.0,European Healthcare Standard,Company/Institution does not have annual yearly raise,,
2023-08-23 08:22:57.589000,USA,Syracuse,Animal Health,Prefer not to say,Start-up,50-200,Operations Scientist,Masters or Equivalent,None,Project management for new product,11.0,110000.0,N/A (no overtime/salaried),10000.0,Not Applicable/None,5000.0,9500.0,401K 3% match,"Blue Cross Blue Shield health (pretty high employee contribution), Guardian Dental, Vision, Life, Pet Insurance, HSA/FSA.",3.5,5000.0,"It's a startup, so hectic and a lot of turnover. But generally fun work, all things considered."
2023-12-16 23:11:35.982000,United States ,"Minneapolis, mn",Bioengineered organs,Prefer not to say,Public,1000-5000,Bioprocessing tech,Bachelors or Equivalent,None,Cellular manufacturing ,10.0,70000.0,N/A (no overtime/salaried),14000.0,14000.0,0.0,0.0,40%401k match,Yes,Have not been long enough to have an annual yearly raise,0.0,
2023-03-29 01:55:23.554000,USA,Bay Area,Biotech,Prefer not to say,Start-up,50-200,Scientist I,Masters or Equivalent,None,,5.0,117000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,0.0,,401k 4% match,,Company/Institution does not have annual yearly raise,,
2023-04-08 23:20:10.867000,USA,Bay Area,Biotech,Prefer not to say,Public,1000-5000,Sr Field Applications Scientist,Masters or Equivalent,None,,7.0,127000.0,N/A (no overtime/salaried),12500.0,20000.0,,,,,3.0,,
2023-04-14 02:11:20.825000,United States,San Francisco,Biotech Software,Benchling,Private,200-1000,Product Marketing Manager,PhD or Equivalent,None,,5.0,198000.0,N/A (no overtime/salaried),20000.0,100000.0,,,0.03,Covered,Have not been long enough to have an annual yearly raise,,
2023-03-29 18:19:51.828000,United States,Boston,Biotech VC,Prefer not to say,Private,50-200,VP,PhD or Equivalent,None,,12.0,350000.0,N/A (no overtime/salaried),Not Applicable/None,250000.0,100000.0,,401k match (up to 4%),"HDHP only, $3k HSA contribution",Have not been long enough to have an annual yearly raise,,
2023-03-29 13:52:43.069000,United States,Boston,CDMO,Resilience,Start-up,1000-5000,Senior Associate Scientist,Bachelors or Equivalent,None,Senior Associate Scientist - Plan and execute experiments to advance external gene therapy pipelines,4.0,124800.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,0.0,0.0,0.06,,Have not been long enough to have an annual yearly raise,,
2023-03-29 06:33:42.633000,Usa,Boston,Cdmo,Prefer not to say,Private,50-200,Sr. Scientist ,Masters or Equivalent,None,PD - no reports,7.0,97000.0,N/A (no overtime/salaried),10.0,Not Applicable/None,0.0,,,,4.0,,
2023-04-11 00:08:05.444000,Canada,Vancouver,Cell culture/separation,STEMCELL tech,Private,1000-5000,"Marketing dpt, lower ranks",Masters or Equivalent,None,SciComm,1.0,60000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,"A bit of RRSP matching, not much though","Great benefits, dental, mental health, even fertility counseling/treatment now",Have not been long enough to have an annual yearly raise,,"Pay is abysmally low for one if the highest COL areas on the planet. Overall positive company culture, but painfully micro-managey."
2023-03-29 15:44:57.360000,United States,San Diego,Cell therapy,NKGen,Start-up,50-200,Lead Manufacturing Associate ,Masters or Equivalent,None,NA,5.0,100000.0,1.5,Not Applicable/None,Not Applicable/None,0.0,None,None,HMO - Kaiser Plat,0.08,0.0,7/10
2023-12-13 15:27:04.400000,United States of America,San Diego,Cell Therapy,Artiva Biotherapeutcs,Start-up,1-50,Process Development Associate III,Bachelors or Equivalent,None,Process development for cell therapy,7.0,100000.0,N/A (no overtime/salaried),10000.0,Not Applicable/None,0.0,N/A,None,"Health, dental, and vision are all completely covered for yourself. Additional charges for spouse and children.",Have not been long enough to have an annual yearly raise,8000.0,9/10
2023-07-12 01:52:38.537000,United Stated of Americ,Bay Area,Chemical, Biosearch Technologies,Subsidiary,200-1000,Production Technician,Bachelors or Equivalent,None,Oligonucleotide Synthesis,1.0,55000.0,1.5x base for up to 2 hours on an 8hr day. 2x after 10hr day. ,3000.0,Not Applicable/None,,,401k match 100% up to 3 and 50% after up to 5,"BCBS - most expensive of the choices at $64 biweekly for one person. 8$ per month for eye, dental is nominal cost. ",0.03,0.0,6/10
2023-11-30 13:23:13.515000,United States,San Diego,Chemical,BroadPharm,Private,1-50,Research Associate,Bachelors or Equivalent,None,"Bioconjugation, Organic Chemistry, Analytical chemistry ",2.0,65000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,,,Company/Institution does not have annual yearly raise,,
2023-10-27 15:21:19.619000,US,Bay Area,Chemical,Thermo,Public,5000+,Scientist III,PhD or Equivalent,None,Process Development,3.0,120000.0,N/A (no overtime/salaried),0.09,Not Applicable/None,,,,,3-5%,,
2023-03-29 11:29:44.460000,USA,Chicago,Chemical,Thermo Fisher Scientific,Public,5000+,Scientist I,Bachelors or Equivalent,None,,2.0,71500.0,N/A (no overtime/salaried),3500.0,Not Applicable/None,,Discount on company stock,6% 401k match ,,0.032,,
2023-03-29 16:05:16.419000,United States,"Atlanta, GA",Contract Research Organization,Prefer not to say,Public,1000-5000,Global Project Manager II,Masters or Equivalent,None,Global Project Manager - no direct reports,2.0,90000.0,N/A (no overtime/salaried),5% - dependent on company performance,Not Applicable/None,6000.0,10% RSU; vested after 3 years - dependent on performance,4.5% match on 6%,Multiple options; HSA available,3.8% - dependent on performance,0.0,8; much better than previous CRO I was PM at
2023-10-25 22:03:03.061000,USA,Minneapolis,Cosmetics,Prefer not to say,Private,200-1000,Regulatory Compliance Analyst,Bachelors or Equivalent,None,,2.0,52000.0,N/A (no overtime/salaried),3000.0,Not Applicable/None,,,401k match 3%,,Have not been long enough to have an annual yearly raise,,
2023-07-28 09:54:19.228000,India,Bangalore ,CRO,Prefer not to say,Private,200-1000,Sr.Scientist,PhD or Equivalent,None,Manage 5 Junior scientists ,6.0,17045.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,,,10.0,,
2023-03-29 13:21:03.712000,United States,Boston,CRO,Prefer not to say,Private,200-1000,Project Manager I,PhD or Equivalent,None,,0.0,80000.0,N/A (no overtime/salaried),0.05,Not Applicable/None,,,4% match,,Have not been long enough to have an annual yearly raise,,
2023-04-07 05:07:20.832000,United States,San Diego ,CRO,Prefer not to say,Private,1000-5000,Director business development ,Bachelors or Equivalent,None,,3.0,140000.0,N/A (no overtime/salaried),60000.0,Not Applicable/None,0.0,,,,Have not been long enough to have an annual yearly raise,,
2023-05-18 17:50:33.760000,United States,Atlanta,CRO,Prefer not to say,Subsidiary,1000-5000,Supply Chain Manager,Masters or Equivalent,None,,5.0,123000.0,N/A (no overtime/salaried),12000.0,Not Applicable/None,,,,,Company/Institution does not have annual yearly raise,,
2023-11-18 19:52:53.084000,United States,"Wilmington,DE",CRO,Prefer not to say,Private,200-1000,Associate Scientist ,Bachelors or Equivalent,None,,2.0,42000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,401k 4% match,,Have not been long enough to have an annual yearly raise,,
2023-08-02 01:00:28.439000,USA ,San Diego ,CRO,Eurofins ,Subsidiary,1-50,associate Scientist ,Bachelors or Equivalent,None,,3.0,60000.0,1.5x,Not Applicable/None,Not Applicable/None,5000.0,,,,Have not been long enough to have an annual yearly raise,,
2023-09-08 20:38:26.087000,Canada,Toronto,Devices,Prefer not to say,Public,200-1000,Scientist II,PhD or Equivalent,None,,10.0,100000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,match upto 5%,,2.0,,
2023-07-12 06:40:32.697000,Germany,Berlin,Devices,Prefer not to say,Private,50-200,Field application scientist,PhD or Equivalent,None,,4.0,76000.0,N/A (no overtime/salaried),0.05,Not Applicable/None,,,,,0.1,,
