timestamp,what_country_do_you_work_in,where_is_the_closest_major_city_or_hub,where_are_you_located,biotech_sub_industry,company_or_institution_name,company_details_publicprivatestartup_subsidiary_of,company_detail_approximate_company_size,role_title_of_current_position,what_degrees_do_you_have,list_other_relevant_and_recognized_certifications,briefly_describe_your_position,years_of_experience,compensation_annual_base_salarypay,compensation_overtime_pay,compensation_annual_target_bonus,compensation_annual_equitystock_option,compensation_most_recent_annual_yearly_raise,compensation_sign_on_bonus_value,compensation_sign_on_stockequity_options,compensation_retirement_benefits,compensation_retirement_percent_match,compensation_healthcare_benefits,sign_on_relocation_assistance_total_value,company_review,work_life_balance_on_average_how_many_hours_do_you_work_per_week,survey_feedback
2025-08-19 16:14:11.440000,,,"New England (MA, CT, RI, NH, VT, ME)",Oncology,Prefer not to say,Public,50-200,Sr. Bioinformatics Scientist,PhD or Equivalent,None,,2.0,160000.0,N/A (no overtime/salaried),24000.0,8000.0,4.0,0.0,2250 options + 750 RSUs,401k match 50% up to $6k per year,,,,,41 - 45,
2025-03-17 21:39:10.299000,,,"New England (MA, CT, RI, NH, VT, ME)",Industrial Biotech,Prefer not to say,Private,50-200,"PRA, Bioinformatics",Masters or Equivalent,None,,2.0,116500.0,N/A (no overtime/salaried),0.075,Not Applicable/None,0.035,,,401k match 3%,,HSA,,,36 - 40,
2025-01-13 13:30:49.979000,,,West Coast (California & Pacific Northwest),Big Pharmaceuticals,Arrowhead Pharmaceuticals,Public,200-1000,Associate Scientist II,"Bachelors or Equivalent, Masters or Equivalent",None,,6.0,99940.0,N/A (no overtime/salaried),9940.0,10000.0,4.0,0.0,,401k match up to 5%,,,,Arrowhead is a good place to work. Good balance and stress is manageable. ,36 - 40,
2025-01-13 09:30:54.667000,,,"New England (MA, CT, RI, NH, VT, ME)",Industrial Biotech,Prefer not to say,Private,50-200,Sr. Scientist I,Masters or Equivalent,None,Project lead for Therapeutics discovery ,8.0,148800.0,N/A (no overtime/salaried),22500.0,500.0,5.0,,15000.0,0.06,,,,Good but varied ,41 - 45,
2025-01-10 14:14:04.066000,,,West Coast (California & Pacific Northwest),Biotech Equipment,Prefer not to say,Public,5000+,Sr. Staff Scientist,PhD or Equivalent,None,,7.0,180000.0,N/A (no overtime/salaried),17000.0,50000.0,3.3,,,0.03,,,,,41 - 45,
2025-01-09 23:36:32.582000,,,West Coast (California & Pacific Northwest),Industrial Biotech,Prefer not to say,Private,200-1000,Director,PhD or Equivalent,None,,11.0,276.0,N/A (no overtime/salaried),Not Applicable/None,10000.0,Have not been long enough to have an annual yearly raise,,,4% 401k match,,,,,36 - 40,
2024-12-31 19:31:54.297000,,,West Coast (California & Pacific Northwest),Big Pharmaceuticals,Prefer not to say,Public,50-200,Scientist II,PhD or Equivalent,None,,4.0,128000.0,N/A (no overtime/salaried),0.175,7800.0,0.03,8000.0,,401k match 6%,,,,,36 - 40,
2024-12-31 15:26:18.553000,,,"New England (MA, CT, RI, NH, VT, ME)",Academia/Research/Institution,Prefer not to say,Private,50-200,Senior Research Associate 1,Bachelors or Equivalent,None,Early drug discovery: Establish and run various cell based and biochemical assays to profile small molecule compounds,3.0,99000.0,N/A (no overtime/salaried),9900.0,13000.0,3.5,0.0,"Initial option grant of 10,000 shares over 4 years, have received 2 more grants. Up to 27,000 by end of last grant",$3000 401k match,,$28 every pay period (24 per year),,,41 - 45,
2024-12-30 16:06:24.691000,,,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,Sanofi,Public,5000+,Principal scientist ,PhD or Equivalent,None,Quantitative systems pharmacology,3.0,165000.0,N/A (no overtime/salaried),3200.0,Not Applicable/None,Have not been long enough to have an annual yearly raise,50000.0,0.0,"1.5x 401k match up to 6% personal contribution, vest in 2 years",,,15000.0,,41 - 45,
2024-12-29 14:03:58.272000,,,Germany,Big Pharmaceuticals,Eli Lilly,Public,5000+,Automation Engineer,Masters or Equivalent,None,Automation Engineer - Handling daily operations. Go to person for any automation solution in the plant,3.0,62000.0,N/A (no overtime/salaried),6000 - 10%,Not Applicable/None,Have not been long enough to have an annual yearly raise,,,Retirement plans included,,German Healthcare benefits,~ 3500 Euros,,36 - 40,
