timestamp,email_address,which_country_do_you_work_in,what_city_do_you_work_in,which_us_state_do_you_work_in,which_canadian_province_do_you_work_in,company_or_institution_name,which_of_the_following_best_describes_your_company,biotech_sub_industry,company_detail_approximate_company_size,provide_a_review_and_rate_your_companyinstitution_and_experience,work_life_balance_on_average_how_many_hours_do_you_work_per_week,what_is_your_official_job_title,which_department_best_describes_your_role_if_you_cant_find_one_that_fits_your_specific_role_select_other_and_describe,briefly_describe_your_position_and_responsibilities,do_you_work_inperson_remote_or_hybrid,how_many_days_on_average_per_week_do_you_work_from_home,what_degrees_do_you_have,how_many_total_years_of_experience_in_postdocs_do_you_have,list_other_relevant_and_recognized_certifications,please_enter_your_total_years_of_experience_in_the_field,what_currency_will_you_be_answering_these_questions_in,are_you_a_salaried_or_hourly_employee,if_you_are_an_hourly_employee_how_many_hours_per_week_do_you_work,annual_base_salary,overtime_pay,annual_target_bonus_in_percentage,commission,annual_equitystock_option,most_recent_annual_yearly_raise,bonus_value,stockequity_options,relocation_assistance_total_value,retirement_benefits,healthcare_benefits,select_the_highest_level_of_education_that_you_have_thats_relevant_to_your_occupation_if_you_have_multiple_please_select_other_and_describe,how_many_years_have_you_been_working_at_this_current_position,what_currency_will_you_be_answering_these_quesitons_in,survey_feedback,any_other_type_of_annual_bonus_please_describe,how_much_of_your_bonus_did_you_receive_in_the_last_cycle
2025-12-30 18:03:25.296000,,Belgium,Antwerp,,,J&J,Private,Pharmaceutical (including “big pharma”),5000+,All good so far,41 - 45,Principal Scientist ,Research,,In-Person,2.0,,2.0,,10.0,,Salaried,Not applicable,115000.0,N/A (no overtime/am salaried),12.0,No commission,0.0,Have not been long enough to have an annual yearly raise,5000.0,0.0,10000.0,,,PhD,1.0,EUR - euro, All good so far,,12.0
2025-12-30 15:15:41.664000,,United States,,Indiana,,Siemens Healthineers,Public,Diagnostics,5000+,6/10,36 - 40,Onsite Support,Information Technologies,,In-Person,0.0,,0.0,,5.0,,Hourly,40.0,66560.0,2x base,,No commission,0.0,1.032,0.0,0.0,0.0,none,none,Bachelors,2.0,USD - US dollar,,,
2025-12-29 15:50:12.955000,,United States,,Georgia,,Prefer not to say,Public,Pharmaceutical (including “big pharma”),200-1000,underutilized at work,36 - 40,Senior Manager ,Medical Affairs,"Med Info, Med comms, CME",Remote,5.0,,0.0,,8.0,,Salaried,Not applicable,135000.0,N/A (no overtime/am salaried),10.0,No commission,0.0,0.035,0.0,0.0,,401k Match,$2000 HSA contribution per year,PharmD,2.0,USD - US dollar,good questions,None,0.1
2025-12-27 04:23:20.191000,,United States,,Wisconsin,,Prefer not to say,Private,Pharmaceutical (including “big pharma”),200-1000,,41 - 45,Senior Scientist II,Analytical Development,,In-Person,0.0,,0.0,,5.0,,Salaried,Not applicable,140000.0,N/A (no overtime/am salaried),15.0,No commission,100000.0,4.0,0.0,60000.0,15000.0,,,PhD,3.0,USD - US dollar,,RSU,0.15
2025-12-24 02:51:59.923000,,United States,,Texas,,Prefer not to say,Private,Diagnostics,200-1000,,36 - 40,Molecular Genetics Technologist,Clinical,"DNA Sequencing, wet lab",In-Person,0.0,,0.0,,3.0,,Hourly,40.0,58240.0,1.5,5.0,No commission,0.0,Company/Institution does not have annual yearly raise,,,,3% 401k match,,Bachelors,3.0,USD - US dollar,,,3.0
2025-12-23 00:46:12.843000,,United States,,Massachusetts,,Prefer not to say,Private,Pharmaceutical (including “big pharma”),1000-5000,,46 - 50,Associate Director,Commercial Analytics,,Hybrid,2.0,,0.0,,10.0,,Salaried,Not applicable,200000.0,N/A (no overtime/am salaried),20.0,No commission,0.0,2.0,,,,401k 3%,,Bachelors,1.0,USD - US dollar,,,20.0
2025-12-22 18:56:34.094000,,United States,,Pennsylvania,,Merck,Public,Pharmaceutical (including “big pharma”),5000+,,41 - 45,Scientist,Research,,In-Person,5.0,,0.0,,3.0,,Salaried,Not applicable,100000.0,N/A (no overtime/am salaried),10.0,No commission,0.0,0.0,,,,,,Bachelors,1.0,USD - US dollar,,,
2025-12-20 22:41:23.425000,,United States,,California,,Prefer not to say,Private,Medical/Health Devices,50-200,7 culture can be a bit dog on dog,51 - 60,"Director, Commercial Operations",Operations,"Sales Operations, Patient Access",In-Person,1.0,,0.0,,20.0,,Salaried,Not applicable,250000.0,N/A (no overtime/am salaried),15.0,No commission,0.0,3.0,0.0,0.0,0.0,401K no match,"Medical, Dental & Vision. 4500 max OOP Self, Family 7500 ",Masters,2.0,USD - US dollar,,,15.0
2025-12-18 12:04:47.388000,,United States,,Pennsylvania,,GSK,Public,Pharmaceutical (including “big pharma”),5000+,8/10,41 - 45,Manager,Research,IC and team leader for group of 5 junior scientists,Hybrid,2.0,,1.0,,8.0,,Salaried,Not applicable,150000.0,N/A (no overtime/am salaried),18.0,No commission,30000.0,3.0,,,,"401K match 7%, 401K base 4%",,PhD,2.0,USD - US dollar,,,20.0
2025-12-16 13:36:20.924000,,United States,,Minnesota,,Prefer not to say,Private,Cell and Gene Therapy,1-50,Positive experience. ,41 - 45,Director of Operations,Operations,"Run day to day business operations including overseeing R&D scientists and clinical study onboarding. Due to being a start up, also handle some basic HR and company admin. ",Hybrid,1.0,,0.0,"PMP, PE, RAPS, etc",7.0,,Salaried,Not applicable,152000.0,N/A (no overtime/am salaried),5.0,No commission,20000.0,Have not been long enough to have an annual yearly raise,0.0,Stock awards granted to employees (private company). Some are stock options and some are restricted stock awards. Vested over 3 year period.,,,,Bachelors,1.0,USD - US dollar,Thank you!,0.0,5.0
2025-12-16 04:18:24.615000,,United States,,New York,,Prefer not to say,Public,Pharmaceutical (including “big pharma”),5000+,,41 - 45,Medical Science Liaison ,Medical Affairs ,,Hybrid,3.0,,3.0,,5.0,,Salaried,Not applicable,235000.0,N/A (no overtime/am salaried),22.0,No commission,100000.0,3.0,,,,,,PhD,5.0,USD - US dollar,,Stocks ,25.0
2025-12-15 19:08:49.244000,,United States,,Massachusetts,,Prefer not to say,Private,Industrial Biotech,1-50,"8/10, great people and interesting work. Leadership can be a bit overwhelming at times, but overall decent work life balance. Lots of trust in individual contributors enables quite a bit of flexibility in research",36 - 40,Senior Scietist,Research,"Structural Biologist, X-ray crystallography and cryo-EM",In-Person,0.0,,3.0,,5.0,,Salaried,Not applicable,150000.0,N/A (no overtime/am salaried),12.5,No commission,0.0,Have not been long enough to have an annual yearly raise,0.0,0.0,0.0,4% 401k match,"$2500 monthly stipend for insurance, dental $20/mo, vision $5/mo, ",PhD,1.0,USD - US dollar,Very interesting,,4.0
2025-12-15 16:27:50.954000,,United States,,Pennsylvania,,JnJ,Public,Pharmaceutical (including “big pharma”),5000+,,36 - 40,Senior Scientist,Research,,In-Person,0.0,,5.0,,2.0,,Salaried,Not applicable,140000.0,N/A (no overtime/am salaried),12.0,No commission,0.0,4.0,,,,4.0,,PhD,2.0,USD - US dollar,,,15.6
2025-12-14 10:01:00.812000,,United States,,California,,Prefer not to say,Public,Pharmaceutical (including “big pharma”),5000+,"Great growth opportunities given, worked in several areas of supply chain. But have hit ceiling in current area. ",30 - 35,Sr. Supply Chain Specialist ,Supply Chain,"Master Scheduling, Product Launches, Supplier Quality ",In-Person,0.0,,0.0,,6.0,,Salaried,Not applicable,125000.0,N/A (no overtime/am salaried),12.0,No commission,15000.0,0.03,10000.0,15000.0,0.0,100% match for $15000 for 401k. ,$50/pay check Kaiser plan - low deductible. ,Masters,4.5,USD - US dollar,,,0.16
2025-12-13 09:43:47.147000,,United States,,California,,Prefer not to say,Private,Pharmaceutical (including “big pharma”),5000+,,41 - 45,Scientist III,Research,"Cancer research, cell culture, in vitro assays",In-Person,0.0,,7.0,,2.0,,Salaried,Not applicable,144000.0,N/A (no overtime/am salaried),,No commission,4.0,Company/Institution does not have annual yearly raise,15000.0,,20000.0,401k match,"UHC, 6K deductible for family, HSA ",PhD,2.0,USD - US dollar,,,20.0
2025-12-12 05:58:44.871000,,China,Shanghai,,,Prefer not to say,Public,Industrial Biotech,1000-5000,,36 - 40,Associate Director,Research,,In-Person,0.0,,0.0,,12.0,,Salaried,Not applicable,700000.0,N/A (no overtime/am salaried),4.0,No commission,160000.0,Company/Institution does not have annual yearly raise,,,,,,Bachelors,1.0,CNY,,,0.225
2025-12-12 02:08:53.088000,,United States,,California,,Novo Nordisk,Public,Cell and Gene Therapy,5000+,,36 - 40,Senior Manufacturing Associate,Manufacturing,Stem Cell Manufacturing Associate,In-Person,0.0,,0.0,,10.0,,Salaried,Not applicable,109000.0,N/A (no overtime/am salaried),10.0,No commission,0.0,4.0,,,,"1% 401k match, 9% MPP(retirement)",,Bachelors,5.0,USD - US dollar,,,13.5
2025-12-11 01:01:04.211000,,United States,,Arizona,,Prefer not to say,Private,Cell and Gene Therapy,50-200,,36 - 40,Regulatory Affairs Manager,Regulatory ,,Remote,5.0,,3.0,,2.0,,Salaried,Not applicable,120000.0,N/A (no overtime/am salaried),14.0,No commission,2000.0,Have not been long enough to have an annual yearly raise,3000.0,250 RSUs per year for 4 years,,401k match 5%,"HSA 1200USD per year, high deductible plan with 2000 USD deductible",MD + MS,1.0,USD - US dollar,,,14.0
2025-12-10 21:17:15.692000,,United States,,California,,Prefer not to say,Public,Pharmaceutical (including “big pharma”),5000+,,30 - 35,scientist II,Data Science / Bioinformatics,AI/ML,Hybrid,3.0,,0.0,,0.0,,Salaried,Not applicable,151000.0,N/A (no overtime/am salaried),10.0,No commission,0.0,Have not been long enough to have an annual yearly raise,,,,,,PhD,0.0,USD - US dollar,,none,
2025-12-10 12:33:11.429000,,United States,,New York,,Prefer not to say,Public,Industrial Biotech,5000+,,41 - 45,Senior Associate Scientist,Research,,In-Person,0.0,,0.0,,6.0,,Salaried,Not applicable,101359.0,N/A (no overtime/am salaried),11.0,No commission,20000.0,4.5,,,,,,Masters,4.0,USD - US dollar,,,12.7
2025-12-09 21:51:46.072000,,United States,,Massachusetts,,Prefer not to say,Private,Pharmaceutical (including “big pharma”),5000+,,46 - 50,"Senior Associate, QC",Quality,in-process analytical testing of biologic pharmaceutical drug products,In-Person,0.0,,0.0,Hazmat Emergency Response Certification,10.0,,Hourly,"Panama Schedule, 36 hours one week, 48 hours the next",75000.0,1.5X or 2.0X depending on circumstance,5.0,No commission,3500.0,0.03,0.0,0.0,0.0,"7% 401K match, 4.5% discretionary 401K contribution - neither require a vesting period",350 for employer HSA contribution,Masters,2.0,USD - US dollar,,3% annual pay increase,
2025-12-04 12:52:50.434000,,United States,,California,,Prefer not to say,Private,Cell and Gene Therapy,200-1000,,41 - 45,Senior Scientist I,Data Science / Bioinformatics,,Remote,5.0,,3.0,,1.0,,Salaried,Not applicable,170000.0,N/A (no overtime/am salaried),20.0,No commission,0.0,Have not been long enough to have an annual yearly raise,,,,5% match ,,PhD,1.0,USD - US dollar,,,20.0
