raw_company_name,harmonized_company_name
"0","Unknown"
"1","Unknown"
"2nd shift maintenance engineer - in charge of frontline troubleshooting of sterile supply equipment for my whole site (washers, autoclaves, ovens)","Unknown"
"3","Unknown"
"7","Unknown"
"A named Flagship Pioneering company","Flagship Pioneering"
"A very large pharma (can probably guess based on City)","Unknown"
"AbbVie","AbbVie"
"AbbVie ","AbbVie"
"Abzena","Abzena"
"Agenus","Agenus"
"Alloy Therapeutics","Alloy Therapeutics"
"Amgen","Amgen"
"Artiva Biotherapeutics","Artiva Biotherapeutics"
"Astellas","Astellas"
"AstraZeneca","AstraZeneca"
"Astrazeneca","AstraZeneca"
"Automata","Automata"
"BMS","Bristol Myers Squibb"
"Bachem","Bachem"
"Beckman Coulter","Beckman Coulter"
"Becton, Dickinson and Company","Becton Dickinson"
"Bharat biotech international ltd","Bharat Biotech"
"Big Pharna","Unknown"
"BillionToOne","BillionToOne"
"Bio-Techne","Bio-Techne"
"BioMarin","BioMarin"
"BioMarin Pharmaceutical ","BioMarin"
"BioNTech","BioNTech"
"Biogen","Biogen"
"Biomarin","BioMarin"
"Biotech VC","Unknown"
"Boehringer Ingelheim","Boehringer Ingelheim"
"Boehringer Ingelheim ","Boehringer Ingelheim"
"Boston children's hospital ","Boston Children's Hospital"
"Bristol Myers Squibb","Bristol Myers Squibb"
"Broad Institute","Broad Institute"
"Broad Institute of MIT & Harvard","Broad Institute"
"Broad Institute of MIT and Harvard ","Broad Institute"
"CRISPR Therapeutics ","CRISPR Therapeutics"
"CSL","CSL"
"Caltech ","Caltech"
"Catalent","Catalent"
"CellCarta","CellCarta"
"Celldex Therapeutics","Celldex Therapeutics"
"Charles River Laboratories","Charles River Laboratories"
"Charles River Labs","Charles River Laboratories"
"Colgate-Palmolive","Colgate-Palmolive"
"Colossal Biosciences","Colossal Biosciences"
"Colossal biosciences ","Colossal Biosciences"
"Computational Medicine and Bioinformatics, University of Michigan","University of Michigan"
"Concept Life Sciences","Concept Life Sciences"
"Consulting Firm ","Unknown"
"Curtin ","Curtin University"
"Cytiva","Cytiva"
"Dana Farber Cancer Institute","Dana-Farber Cancer Institute"
"Danaher","Danaher"
"Danaher Co Op","Danaher"
"Denali","Denali Therapeutics"
"Denali Therapeutics, Inc.","Denali Therapeutics"
"Don't have one","Unknown"
"Eikon therapeutics ","Eikon Therapeutics"
"Eli Lilly","Eli Lilly"
"Eli Lilly & Co. ","Eli Lilly"
"Eurofins Lancaster Labs","Eurofins"
"Eurofins PSS","Eurofins"
"Evotec (Insourced at Merck)","Evotec"
"Exact Sciences","Exact Sciences"
"FDA","FDA"
"Flagship Labs","Flagship Pioneering"
"Flagship Pioneering","Flagship Pioneering"
"Fujifilm Biotechnologies","Fujifilm"
